City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lagos,6.5833,3.75,82.72,85,100,4.43,NG,1717343085
1,apolinario saravia,-24.4328,-63.9954,78.17,45,0,8.12,AR,1717343158
2,grytviken,-54.2811,-36.5092,27.7,74,68,1.66,GS,1717343159
3,port lincoln,-34.7333,135.8667,53.19,53,100,12.55,AU,1717343054
4,talnakh,69.4865,88.3972,34.21,99,100,2.93,RU,1717343161
5,ataq,14.5377,46.8319,89.19,25,2,14.72,YE,1717343162
6,margaret river,-33.95,115.0667,60.4,70,63,15.17,AU,1717343163
7,avarua,-21.2078,-159.775,73.45,64,100,5.75,CK,1717343163
8,jamestown,42.097,-79.2353,65.01,80,100,10.36,US,1717343031
9,college,64.8569,-147.8028,55.45,70,100,5.75,US,1717343165
10,kingston,17.997,-76.7936,88.75,66,75,2.3,JM,1717342625
11,albany,42.6001,-73.9662,77.54,56,100,4.61,US,1717342763
12,waitangi,-43.9535,-176.5597,49.82,84,100,11.99,NZ,1717343167
13,mokhsogollokh,61.4681,128.9203,50.23,52,9,2.39,RU,1717343168
14,malmyzh,56.5205,50.6818,67.26,86,82,5.53,RU,1717343168
15,ushuaia,-54.8,-68.3,38.86,65,0,20.71,AR,1717342878
16,puerto natales,-51.7236,-72.4875,30.65,93,0,9.22,CL,1717343170
17,tulun,54.5611,100.5792,48.74,68,90,5.08,RU,1717343171
18,bowen,-20.0167,148.2333,59.63,61,1,9.17,AU,1717343171
19,blackmans bay,-43.0167,147.3167,48.52,87,92,1.01,AU,1717343172
20,west island,-12.1568,96.8225,80.58,78,40,17.27,CC,1717343173
21,wuwei,37.9281,102.6414,64.22,41,77,4.61,CN,1717343173
22,bredasdorp,-34.5322,20.0403,58.93,86,87,3.96,ZA,1717343174
23,rabaul,-4.1967,152.1721,79.3,83,69,3.6,PG,1717343175
24,igarka,67.4667,86.5833,32.02,92,99,13.0,RU,1717343175
25,port-aux-francais,-49.35,70.2167,34.18,72,99,39.46,TF,1717343176
26,papatowai,-46.5619,169.4708,49.91,76,27,22.08,NZ,1717343177
27,hamilton,39.1834,-84.5333,67.98,95,100,6.91,US,1717342544
28,puerto ayora,-0.7393,-90.3518,78.76,90,57,1.99,EC,1717343178
29,buinsk,54.95,48.2833,62.65,92,100,16.46,RU,1717343179
30,anadyr,64.75,177.4833,32.5,86,20,8.95,RU,1717343180
31,ribeira grande,38.5167,-28.7,66.6,82,75,18.41,PT,1717343180
32,mugia,43.1041,-9.2179,65.91,71,0,28.48,ES,1717343181
33,tomatlan,19.9333,-105.25,88.83,49,100,5.19,MX,1717343182
34,ciudad bolivar,8.1222,-63.5497,93.07,48,37,7.02,VE,1717343108
35,kendari,-3.945,122.4989,75.58,96,95,2.06,ID,1717343183
36,kerikeri,-35.2268,173.9474,49.8,84,97,3.22,NZ,1717343184
37,san patricio,28.017,-97.5169,90.16,50,52,18.84,US,1717343184
38,tiksi,71.6872,128.8694,40.89,76,68,2.35,RU,1717343185
39,gadzhiyevo,69.2551,33.3362,46.51,88,76,9.89,RU,1717343186
40,rongelap,11.1635,166.8941,82.62,80,52,18.16,MH,1717343186
41,deqen,29.9618,90.7188,54.18,58,47,7.54,CN,1717343187
42,galveston,29.3669,-94.9669,87.06,82,98,4.0,US,1717342902
43,vorgashor,67.5833,63.95,28.8,89,98,3.65,RU,1717343188
44,burao,9.5221,45.5336,84.99,42,90,19.6,SO,1717343189
45,olonkinbyen,70.9221,-8.7187,32.58,83,100,12.01,SJ,1717343190
46,georgetown,5.4112,100.3354,84.15,79,20,3.44,MY,1717343030
47,arraial do cabo,-22.9661,-42.0278,80.46,44,0,13.8,BR,1717343192
48,barabai,-2.5833,115.3833,75.58,98,89,1.21,ID,1717343192
49,codrington,-38.2667,141.9667,47.89,73,72,4.09,AU,1717343193
50,isangel,-19.55,169.2667,73.96,78,100,17.2,VU,1717343194
51,adamstown,-25.066,-130.1015,72.48,85,67,19.82,PN,1717343194
52,erenhot,43.6475,111.9767,68.56,15,42,8.99,CN,1717343195
53,saudarkrokur,65.7461,-19.6394,45.91,52,100,25.59,IS,1717343196
54,paciran,-6.8767,112.3761,78.1,92,85,8.57,ID,1717343196
55,vorkuta,67.5,64.0,29.1,89,99,5.01,RU,1717343197
56,la ronge,55.1001,-105.2842,44.85,65,75,11.5,CA,1717343198
57,lebu,-37.6167,-73.65,49.62,67,100,9.93,CL,1717342950
58,saipan,15.1355,145.701,79.5,89,0,3.44,MP,1717343200
59,badger,64.8,-147.5333,55.36,67,75,5.75,US,1717343200
60,svetlyy,54.675,20.1347,70.36,85,93,8.34,RU,1717343201
61,beau vallon,-20.4189,57.6953,73.63,78,40,0.0,MU,1717343202
62,salalah,17.0151,54.0924,87.89,70,40,11.5,OM,1717343202
63,santa ana,33.7456,-117.8678,64.42,85,100,4.61,US,1717343127
64,yellowknife,62.456,-114.3525,41.41,84,100,9.22,CA,1717343204
65,nadi,-17.8,177.4167,71.6,73,20,8.05,FJ,1717343204
66,provins,48.5833,3.1667,60.96,80,98,10.76,FR,1717343205
67,ingleside,27.8778,-97.2117,89.83,80,100,16.11,US,1717343206
68,saint-pierre,-21.3393,55.4781,73.08,73,75,6.91,RE,1717343206
69,uliastay,47.7417,96.8444,52.27,41,39,5.44,MN,1717343207
70,iqaluit,63.7506,-68.5145,29.93,92,100,9.22,CA,1717343208
71,khandyga,62.6667,135.6,47.35,49,53,3.47,RU,1717343208
72,nantucket,41.2835,-70.0995,73.54,81,0,6.91,US,1717343147
73,udachny,66.4167,112.4,56.44,28,93,5.86,RU,1717343209
74,la leonesa,-27.0379,-58.7035,79.23,47,0,9.46,AR,1717343210
75,tolanaro,-25.0319,46.9987,71.67,88,0,2.3,MG,1717343211
76,turpan,42.9333,89.1667,88.7,11,6,2.01,CN,1717343211
77,bikenibeu village,1.3673,173.1241,82.36,83,20,8.05,KI,1717343212
78,vernon,50.2581,-119.2691,60.6,65,87,2.3,CA,1717343093
79,revda,56.801,59.9303,59.11,65,4,4.43,RU,1717343213
80,edinburgh of the seven seas,-37.0676,-12.3116,52.93,68,93,28.23,SH,1717343215
81,callao,-12.0667,-77.15,66.72,77,100,10.36,PE,1717343164
82,page,36.9147,-111.4558,81.1,12,0,4.0,US,1717343216
83,laojunmiao,39.8333,97.7333,66.88,21,100,1.66,CN,1717343216
84,kuantan,3.8077,103.326,77.11,88,20,5.75,MY,1717343217
85,san juan de miraflores,-12.1629,-76.9635,65.17,76,21,7.43,PE,1717343218
86,puerto santa,-8.9906,-78.6456,66.16,77,89,6.71,PE,1717343218
87,yerofey pavlovich,53.9667,121.9667,52.09,93,100,3.89,RU,1717343219
88,invercargill,-46.4,168.35,49.01,84,76,15.99,NZ,1717343220
89,port mathurin,-19.6833,63.4167,76.1,75,6,15.75,MU,1717343220
90,lobujya,27.95,86.8167,25.48,95,68,1.9,NP,1717343221
91,nadym,65.5333,72.5167,31.96,86,50,14.76,RU,1717343222
92,aasiaat,68.7098,-52.8699,31.75,72,61,6.62,GL,1717343203
93,bethel,41.3712,-73.414,81.52,46,0,8.05,US,1717343212
94,thompson,55.7435,-97.8558,44.76,93,75,3.44,CA,1717343224
95,luderitz,-26.6481,15.1594,55.76,76,10,15.05,NA,1717343225
96,remire-montjoly,4.9167,-52.2667,80.64,94,75,1.14,GF,1717343226
97,zhosaly,45.4878,64.0781,78.71,19,99,17.96,KZ,1717343226
98,prado,-17.3411,-39.2208,75.78,86,47,10.92,BR,1717343227
99,la passe,45.5549,-0.8967,63.01,79,96,8.61,FR,1717343228
100,isafjordur,66.0755,-23.124,39.63,69,64,18.12,IS,1717343228
101,bubaque,11.2833,-15.8333,79.02,74,100,10.69,GW,1717343229
102,mejit,10.2753,170.8646,82.49,82,5,18.12,MH,1717343231
103,bulnes,-36.7423,-72.2985,41.76,59,100,9.86,CL,1717343231
104,saint-francois,46.4154,3.9054,60.24,89,100,16.11,FR,1717343232
105,st. john's,47.5649,-52.7093,54.68,98,100,17.27,CA,1717342949
106,tuy hoa,13.0833,109.3,82.89,69,100,4.63,VN,1717343233
107,selkirk,50.1436,-96.8845,72.16,52,81,10.38,CA,1717343155
108,berberati,4.2612,15.7922,88.5,45,64,5.44,CF,1717343234
109,buka,40.8108,69.1986,77.59,29,49,7.96,UZ,1717343139
110,polyarnyy,69.1989,33.4478,48.16,85,69,9.15,RU,1717343236
111,savino,56.5929,41.2181,75.15,87,84,12.44,RU,1717343236
112,korgun,40.7348,33.5184,78.8,46,82,3.67,TR,1717343237
113,urangan,-25.3,152.9,56.19,78,0,4.0,AU,1717343087
114,porto murtinho,-21.6989,-57.8825,93.67,24,0,13.67,BR,1717342943
115,wuchang,44.9143,127.15,55.65,83,1,3.06,CN,1717343239
116,atafu village,-8.5421,-172.5159,83.41,73,100,6.35,TK,1717343239
117,ghat,24.9647,10.1728,93.34,20,81,9.78,LY,1717343240
118,melekeok village,7.4957,134.6367,79.36,94,40,0.0,PW,1717343241
119,petropavlovsk-kamchatsky,53.0452,158.6483,44.46,77,0,2.24,RU,1717343241
120,hami,42.8,93.45,79.41,12,99,7.87,CN,1717343242
121,crane,31.3974,-102.3501,82.83,63,96,22.88,US,1717343243
122,muhos,64.808,25.9931,65.98,84,100,5.01,FI,1717343243
123,palopo,-2.9996,120.1921,76.73,96,99,2.17,ID,1717343244
124,neiafu,-18.65,-173.9833,74.08,78,40,11.5,TO,1717343245
125,wailua homesteads,22.0669,-159.378,72.39,85,75,17.27,US,1717343245
126,weno,7.4515,151.8468,80.42,81,100,12.57,FM,1717343246
127,albox,37.3886,-2.1495,73.33,54,32,11.14,ES,1717343247
128,ilulissat,69.2167,-51.1,35.62,69,75,6.91,GL,1717343247
129,nagqu,31.5,92.0,42.98,82,100,8.14,CN,1717343248
130,egilsstadir,65.2653,-14.3948,53.51,35,75,16.11,IS,1717343249
131,naha,26.2125,127.6811,68.27,100,100,11.5,JP,1717343185
132,fort bragg,35.139,-79.006,82.81,56,75,11.5,US,1717343224
133,juneau,58.3019,-134.4197,48.42,93,100,3.44,US,1717343105
134,mount pearl,47.5166,-52.7813,53.96,98,100,17.27,CA,1717343251
135,zeya,53.75,127.2667,55.49,72,100,4.21,RU,1717343252
136,senador canedo,-16.7081,-49.0931,78.13,47,75,12.66,BR,1717343253
137,ha tinh,18.3333,105.9,83.34,70,47,8.37,VN,1717343253
138,hawaiian paradise park,19.5933,-154.9731,72.03,93,100,5.75,US,1717343254
139,richards bay,-28.783,32.0377,71.55,87,22,11.81,ZA,1717343255
140,stanley,54.868,-1.6985,67.51,64,20,16.11,GB,1717343102
141,nguigmi,14.2495,13.1092,105.3,15,3,8.7,NE,1717343256
142,cidreira,-30.1811,-50.2056,70.32,60,1,2.62,BR,1717343256
143,rosarito,32.3333,-117.0333,61.54,71,62,8.01,MX,1717343257
144,olinda,-8.0089,-34.8553,83.93,74,40,13.8,BR,1717343045
145,atbasar,51.8,68.3333,56.82,63,88,6.55,KZ,1717343258
146,peace river,56.2501,-117.286,53.65,78,100,4.61,CA,1717343259
147,karmaskaly,54.3709,56.1837,78.71,65,27,5.06,RU,1717343260
148,narimanov,46.6927,47.8498,84.11,39,92,12.21,RU,1717343260
149,nishinoomote,30.7333,131.0,71.42,70,78,2.51,JP,1717343261
150,tacna,-18.0056,-70.2483,54.5,88,100,3.44,PE,1717343262
151,constantia,44.1833,28.65,86.7,62,39,6.11,RO,1717342964
152,kita,13.0349,-9.4895,105.78,11,75,4.81,ML,1717343263
153,keetmanshoop,-26.5833,18.1333,54.52,37,75,14.97,NA,1717343264
154,sokoto,13.0609,5.239,102.63,27,100,6.53,NG,1717343264
155,bilibino,68.0546,166.4372,30.72,78,43,3.58,RU,1717343265
156,krasnyy chikoy,50.3643,108.7512,51.76,77,90,2.33,RU,1717343266
157,carnarvon,-24.8667,113.6333,67.35,59,0,13.11,AU,1717343266
158,hermanus,-34.4187,19.2345,57.79,89,82,4.07,ZA,1717343267
159,chinchilla,-26.75,150.6333,44.02,99,2,8.84,AU,1717343268
160,bayanaul,50.7889,75.6956,47.52,79,99,3.22,KZ,1717343268
161,ust-nera,64.5667,143.2,52.2,41,100,2.35,RU,1717343269
162,turaif,31.6725,38.6637,97.05,7,0,4.61,SA,1717343270
163,ponta delgada,37.7333,-25.6667,72.32,83,20,11.5,PT,1717343201
164,bambanglipuro,-7.95,110.2833,76.87,93,50,1.66,ID,1717343271
165,ulladulla,-35.35,150.4667,54.68,55,100,9.48,AU,1717343271
166,camocim,-2.9022,-40.8411,88.29,58,14,10.56,BR,1717343272
167,darhan,49.4867,105.9228,60.93,70,100,2.24,MN,1717343273
168,businga,3.3333,20.8833,84.9,61,99,2.66,CD,1717343273
169,susuman,62.7833,148.1667,44.98,49,64,1.99,RU,1717343274
170,kavaratti,10.5669,72.642,84.51,82,96,14.61,IN,1717343275
171,iskateley,67.6803,53.1512,38.01,93,81,5.01,RU,1717343275
172,chonchi,-42.6128,-73.8092,44.11,79,80,3.78,CL,1717343217
173,port elizabeth,-33.918,25.5701,66.09,96,100,23.02,ZA,1717342980
